index,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
0,57.95862196,58.443,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93497063516508,0.0,-5.992,0.0,4.1338934190276815,0.0,0.0,0.0,0.0,1.3779644730092273,0.0,0.0,0.0,0.0,1.29,10.36781984255754,2.29,0.06519379844961241,11.871153719728383
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,389.03579345200006,389.3880000000001,6.0,2.0,1.0,2.0,7.0,28.0,39.0,7.0,0.0,0.047619047619047616,5.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,163.85993836427093,88.35000000000001,4.400100000000002,102.7131,14.987282951989688,8.741521967993126,5.023075509744992,5.023075509744992,3.921089233461578,14.170786371061961,8.333273677529263,4.931788416827464,4.931788416827464,3.8156799781226325,-3.6699999999999995,16.499790785793326,5.661359670478361,2.113625469295251,3.3361160759293145
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60.057514876,60.096,1.0,1.0,1.0,1.0,1.0,4.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26336900881878,20.23,0.3887,17.376800000000003,2.861427157873053,1.5233345472033855,0.2236067977499789,0.2236067977499789,0.0,2.861427157873053,1.5233345472033855,0.2236067977499789,0.2236067977499789,0.0,-0.04,3.9600000000000004,2.9600000000000004,1.96,2.9304000000000006
0,88.052429496,88.106,2.0,0.0,1.0,0.0,2.0,6.0,14.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10914470057002,26.3,0.5694,22.30699999999999,4.023603362114273,1.9040302062452235,0.3476006996936919,0.3476006996936919,0.20326313239628543,4.023603362114273,1.9040302062452235,0.3476006996936919,0.3476006996936919,0.20326313239628543,-0.53,5.469999999999999,2.693713646532438,3.4699999999999998,2.455768941088739
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32.026214748,32.042,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.533484780025564,20.23,-0.3915,8.1428,1.4472135954999579,0.4472135954999579,0.0,0.0,0.0,1.4472135954999579,0.4472135954999579,0.0,0.0,0.0,-0.04,1.96,0.9600000000000016,-27.040000000000028,0.9408000000000016
0,59.966755770000006,60.084,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.40222479242814,34.14,-0.6184000000000001,7.126999999999999,2.3164965809277263,1.2247448713915892,0.0,0.0,0.0,1.3164965809277263,0.4082482904638631,0.0,0.0,0.0,-0.18311688311688312,2.8168831168831163,1.8168831168831163,1.8168831168831188,1.7059824590993413
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,174.111675688,174.204,6.0,7.0,5.0,5.0,3.0,12.0,26.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.43471202895064,125.22,-1.338429999999999,44.762000000000015,6.708833037092342,3.600216226562007,1.324552902001757,1.324552902001757,0.6685076942623803,6.708833037092342,3.600216226562007,1.324552902001757,1.324552902001757,0.6685076942623803,-1.3,10.7,5.363379355687048,5.482229779997874,4.782346592154284
0,403.17835828,403.47800000000024,5.0,2.0,0.0,2.0,5.0,30.0,55.0,5.0,0.0,0.48,7.0,2.0,5.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,174.8269575492168,70.0,2.1403,109.79660000000004,17.019580208063896,10.953539088330372,9.025340436506887,9.025340436506887,7.7871522319649245,17.019580208063896,10.953539088330372,9.025340436506887,9.025340436506887,7.7871522319649245,-2.369999999999999,17.32485000091514,5.088954764176017,1.6651504182088193,2.938845931693066
0,1700.1729741839988,1701.2060000000008,46.0,25.0,21.0,25.0,46.0,122.0,174.0,46.0,0.0,0.07894736842105263,11.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,671.4985559808038,777.9800000000005,4.838100000000021,382.8020000000002,59.89441749816722,33.18474927910534,16.915298171045222,16.915298171045222,10.846907135941969,59.89441749816722,33.18474927910534,16.915298171045222,16.915298171045222,10.846907135941969,-18.139999999999997,84.76157135170422,33.360105148652956,17.568295112819726,23.17749944965494
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
